X,topic_number,sentiment,type_of_sentiment
1,4,0.102139305588999,pos
2,5,0.0759102728103733,pos
3,7,0.0171719983912029,pos
4,6,0.035031343008879,pos
5,7,0.00649423116218405,neu
6,1,0.193083104343391,pos
7,1,-0.171448931114521,neg
8,6,0.185607490750811,pos
9,6,0.103843704770886,pos
10,1,0.386341432322096,pos
11,6,0.181477839685205,pos
12,1,0.0450282980082808,pos
13,0,0.123034194352858,pos
14,7,0.0523242739169417,pos
15,6,0.424538671540272,pos
16,6,0.0484713024838304,pos
17,2,-0.0137109784731131,neg
18,7,0.108256969413269,pos
19,5,0.0567202834776363,pos
20,6,0.235040943896132,pos
21,4,-0.125204326925763,neg
22,1,0.236294429584854,pos
23,1,0.280946579373804,pos
24,1,-0.0602270945749855,neg
25,7,0.472291390628923,pos
26,0,0.0219116029396153,pos
27,4,0.225567845512832,pos
28,6,0.259333419640093,pos
29,5,0.0269697403057012,pos
30,8,0.175569159100418,pos
31,6,0.0959206358880792,pos
32,5,0.158212419147474,pos
33,5,0.0937101259645443,pos
34,5,-0.0618780588655942,neg
35,6,0.151981047033843,pos
36,6,0.130853223431372,pos
37,4,0.270004309556776,pos
38,7,0.093257992719403,pos
39,2,0.207467772924846,pos
40,7,0.125995422817613,pos
41,7,0.0752523338589411,pos
42,7,-0.0760439122480775,neg
43,7,0.0548804177577628,pos
44,6,0.264940636122222,pos
45,8,0.211186629956261,pos
46,7,0.242934709111078,pos
47,7,-8.88790982060539e-4,neu
48,5,0.204215971177315,pos
49,4,0.261225847975728,pos
50,6,0.348133349226829,pos
51,6,0.580948293311098,pos
52,4,0.00160986550849896,neu
53,3,0.257410716410362,pos
54,6,0.182231410648405,pos
55,1,0.0412243762959994,pos
56,5,0.0847710530232855,pos
57,3,0.266722411186788,pos
58,6,0.0313331044151773,pos
59,6,0.387463462330861,pos
60,4,-0.0468322001658661,neg
61,1,0.0543427062109774,pos
62,5,0.265385828952313,pos
63,8,0.216456121088265,pos
64,0,0.218940298502257,pos
65,4,0.162297873407934,pos
66,5,0.130464215005299,pos
67,0,0.435846870463872,pos
68,1,0.401479483407211,pos
69,7,0.0819254315011669,pos
70,6,-0.0713327059862275,neg
71,7,0.0995977097028459,pos
72,1,0.187234759012486,pos
73,2,-0.217443427201911,neg
74,3,0.185016649883367,pos
75,4,0.096789634081701,pos
76,1,-0.0826529104582968,neg
77,8,0.138559600677825,pos
78,1,0.172005347783951,pos
79,5,0.29481860051774,pos
80,7,0.0928390245589921,pos
81,7,0.282834221639937,pos
82,6,0.14295814128209,pos
83,7,0.0782064805812229,pos
84,7,-0.0953815028152904,neg
85,1,0.0600843425617516,pos
86,1,0.531149800930472,pos
87,1,0.105396193799992,pos
88,1,0.276409956331825,pos
89,1,0.118127079308996,pos
90,7,0.166606438606838,pos
91,7,0.263915603284513,pos
92,1,0.122323257444044,pos
93,5,0.13362620437483,pos
94,4,0.110921395841906,pos
95,7,0.38291247711998,pos
96,5,0.247894002310358,pos
97,4,0.0801958486182106,pos
98,6,0.182882029592563,pos
99,0,0.201393067364296,pos
100,1,0.316296474631996,pos
101,4,0.31940727871645,pos
102,7,0.08110597595598,pos
103,7,0.0860071508221934,pos
104,7,0.0572919607044779,pos
105,7,0.105856091131126,pos
106,6,-0.166914675453404,neg
107,8,-0.29897807173318,neg
108,6,0.189685346406687,pos
109,7,0.294131675276914,pos
110,6,0.18179524264971,pos
111,6,0.0245804550716949,pos
112,4,0.131901673428515,pos
113,5,0.0353071664308561,pos
114,7,0.0946688166484063,pos
115,6,0.292819398342875,pos
116,1,0.23718033630208,pos
117,7,0.307694665802787,pos
118,5,0.427919186321596,pos
119,0,0.0229806562272184,pos
120,6,-0.0941930818599519,neg
121,1,-0.0769391350931405,neg
122,3,0.243029111634971,pos
123,8,0.221361511011806,pos
124,1,-0.155336827669579,neg
125,2,0.0976764196422292,pos
126,6,1.30397743188183,pos
127,6,0.275769785680171,pos
128,4,-0.0595929855833629,neg
129,1,0.0746459748972513,pos
130,8,0.17381197129768,pos
131,8,-0.144314214508045,neg
132,5,0.35198255393485,pos
133,5,0.0464369343175591,pos
134,1,0.228497292843089,pos
135,7,-0.227759397044997,neg
136,5,-0.173813420890645,neg
137,6,0.396524041674031,pos
138,7,-0.062312172164709,neg
139,1,0.219573525359899,pos
140,7,0.435223557034544,pos
141,7,0.184168945612755,pos
142,5,-0.0989814979441817,neg
143,6,0.347749995448445,pos
144,1,0.156571854359155,pos
145,7,0.120318872753195,pos
146,6,0.0174801280571663,pos
147,6,0.221077207058028,pos
148,1,0.139535663731122,pos
149,4,0.27503819433972,pos
150,1,0.383184460457856,pos
151,8,0.167508960228626,pos
152,6,0.220801075164382,pos
153,6,0.118121274050881,pos
154,0,0.141009345873113,pos
155,1,0.091156602587234,pos
156,2,-0.0318896004250078,neg
157,7,0.0635391449510711,pos
158,7,0.0609308976726204,pos
159,4,0.219787139648573,pos
160,7,0.00249919186431531,neu
161,6,0.128450170697638,pos
162,3,-0.0310746263150784,neg
163,3,0.153415901499599,pos
164,1,0.152727846440229,pos
165,6,0.288481127375717,pos
166,2,-0.035993349381628,neg
167,4,0.101103389222646,pos
168,3,0.0345575148287656,pos
169,6,0.0915868637580395,pos
170,0,0.177601973793295,pos
171,4,0.104719988319975,pos
172,3,0.00736352364465667,neu
173,2,0.0615109559458585,pos
174,0,-0.120815376377627,neg
175,6,0.0227040912732463,pos
176,3,-0.0667467074843109,neg
177,6,0.0552491518936866,pos
178,7,0.219481055133444,pos
179,6,0.078301823319528,pos
180,4,0.230256773664059,pos
181,8,0.340034801538419,pos
182,7,-0.101913205902633,neg
183,5,0.0282733515180992,pos
184,7,0.432825401413346,pos
185,7,0.170844295784809,pos
186,4,0.496586084946591,pos
187,2,0.0720238804658383,pos
188,8,0.27720893835956,pos
189,3,0.296044732577725,pos
190,7,0.332767443806317,pos
191,6,0.0431295443360267,pos
192,4,0.06386183401615,pos
193,8,-0.0811751874016595,neg
194,7,0.108575276085137,pos
195,7,0.235382289814535,pos
196,5,-0.0261617479286729,neg
197,7,-0.0939386087508759,neg
198,7,0.057257541904071,pos
199,7,-0.130796297742189,neg
200,6,0.102256227857317,pos
201,3,0.22767712258034,pos
202,1,0.252003936699998,pos
203,4,0.0539227311969034,pos
204,6,0.262123810532755,pos
205,0,0.122230371668572,pos
206,1,0.189096649773433,pos
207,5,0.224280733524586,pos
208,5,0.150959882973807,pos
209,7,0.099113896808216,pos
210,6,0.173675207837467,pos
211,4,1.17669681082911e-4,neu
212,6,0.548887141812465,pos
213,7,0.243677809167767,pos
214,1,0.0165252045799318,pos
215,1,-0.00389572512290952,neu
216,6,0.0451766776044047,pos
217,5,0.309493648545029,pos
218,5,0.331815008469889,pos
219,1,0.31205909657237,pos
220,0,0.539155048125549,pos
221,8,0.33630889983899,pos
222,4,-0.0317194274449653,neg
223,5,0.328667915894168,pos
224,3,0.204341279500058,pos
225,1,0.167986871079481,pos
226,5,0.0544331053951817,pos
227,7,5.86075543699753e-4,neu
228,5,0.290441723226271,pos
229,1,0.335408255495093,pos
230,6,0.507865525065056,pos
231,7,-0.023320149702529,neg
232,7,0.260472251269045,pos
233,5,0.170347974347506,pos
234,1,-0.00804524779330298,neu
235,7,0.0302204050668648,pos
236,4,0.353793367220245,pos
237,6,0.348298488091094,pos
238,8,0.152662591586003,pos
239,1,0.117421363960931,pos
240,7,0.188249544458165,pos
241,1,0.169308406053072,pos
242,4,0.190768299313032,pos
243,1,0.0321554981511346,pos
244,5,0.0461119672881463,pos
245,1,0.264816848714428,pos
246,7,0.11908606710061,pos
247,6,0.14590946939886,pos
248,8,-0.0274937616720164,neg
249,5,0.0291042135490108,pos
250,5,0.244300261441498,pos
251,1,0.112370659992237,pos
252,7,0.194761082030766,pos
253,7,0.202321486576831,pos
254,8,0.120242662926164,pos
255,8,0.218960593379614,pos
256,7,0.105742825549996,pos
257,5,-0.154948048864694,neg
258,5,0.207432242374843,pos
259,4,0.345535642413075,pos
260,3,0.734787216123622,pos
261,2,-0.0116759831213631,neg
262,5,0.218013444178044,pos
263,1,0.21045828623329,pos
264,7,0.118968846709919,pos
265,1,0.107952263815785,pos
266,1,0.256545009386204,pos
267,6,-0.214031146623484,neg
268,4,0.131066999284745,pos
269,1,0.1769518761585,pos
270,1,0.2601665693443,pos
271,1,0.082236842405629,pos
272,5,0.106309043435527,pos
273,7,0.0667886175664937,pos
274,1,0.181325959709571,pos
275,7,0.254212402664396,pos
276,7,0.194682842068449,pos
277,6,-0.00607395306832783,neu
278,5,0.33089582156715,pos
279,2,5.55895014849477e-4,neu
280,7,0.191928268952081,pos
281,5,0.149119731092647,pos
282,1,0.149764705684309,pos
283,6,-0.00842389826589028,neu
284,7,0.307999812170231,pos
285,7,-0.0474896650374693,neg
286,5,0.160726613016781,pos
287,5,0.0866242413727565,pos
288,1,0.246381654193896,pos
289,6,0.0633468739799303,pos
290,2,0.0256465020752826,pos
291,5,8.41712755225655e-4,neu
292,3,0.17814135566636,pos
293,4,0.196612303069282,pos
294,7,0.0668868133235269,pos
295,1,-0.0523461683725783,neg
296,1,0.47626626905303,pos
297,6,-0.299254850107826,neg
298,5,0.0150723316195423,pos
299,7,0.205849363275103,pos
300,7,0.247297082986159,pos
301,4,0.474749760452471,pos
302,4,0.171795257468922,pos
303,5,0.165307825441106,pos
304,7,0.318139048477586,pos
305,1,0.0157408977640353,pos
306,5,0.168993135719707,pos
307,6,0.0703195429060715,pos
308,0,0.451468653878558,pos
309,5,0.320218045181391,pos
310,1,0.362012868302683,pos
311,4,0.222065828003455,pos
312,6,0.13953043273845,pos
313,1,0.331852162088054,pos
314,7,-0.0979809705044384,neg
315,5,-0.0276625651827215,neg
316,6,0.239382626876068,pos
317,6,0.00364292934273169,neu
318,4,0.117412878973455,pos
319,6,0.287754739598839,pos
320,6,-0.107374071516305,neg
321,1,0.291456561482436,pos
322,7,0.0311183397574505,pos
323,7,0.242718214112668,pos
324,6,0.0633470253153463,pos
325,7,0.204319201127532,pos
326,6,0.136559335591178,pos
327,7,0.0556402404892861,pos
328,7,-0.0347986414278215,neg
329,7,0.218869672792325,pos
330,6,-0.0641015040739267,neg
331,6,0.329859737113214,pos
332,7,0.0105061121995808,pos
333,1,0.176970349636513,pos
334,7,0.0722797700012652,pos
335,1,0.179711646426064,pos
